initial_set,sampling_type,diversity
sample_state_combined_county_id_5ppc_1000_size_seed_1.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,40679720.495880894
sample_state_combined_county_id_5ppc_700_size_seed_9101.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,30874744.470747154
sample_state_combined_county_id_10ppc_300_size_seed_9101.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,12624142.773476094
sample_state_combined_county_id_5ppc_500_size_seed_123.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,22010221.53950299
sample_state_combined_county_id_10ppc_150_size_seed_1.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,5877378.403627403
sample_state_combined_county_id_10ppc_200_size_seed_1234.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,7680381.693922141
sample_state_combined_county_id_10ppc_600_size_seed_456.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,25561558.769645195
sample_state_combined_county_id_10ppc_300_size_seed_456.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,12670025.037244473
sample_state_combined_county_id_5ppc_100_size_seed_456.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,3846199.803996612
sample_state_combined_county_id_10ppc_150_size_seed_42.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,6238322.409697809
sample_state_combined_county_id_5ppc_500_size_seed_456.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,22185593.820318602
sample_state_combined_county_id_10ppc_1100_size_seed_456.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,47587640.21403572
sample_state_combined_county_id_5ppc_150_size_seed_123.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,6329313.053874329
sample_state_combined_county_id_5ppc_1100_size_seed_456.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,42949579.45960929
sample_state_combined_county_id_5ppc_700_size_seed_1213.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,30695100.27978381
sample_state_combined_county_id_10ppc_600_size_seed_1.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,25565019.79039685
sample_state_combined_county_id_10ppc_1000_size_seed_1415.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,43529922.242703386
sample_state_combined_county_id_10ppc_600_size_seed_1234.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,26004641.971352
sample_state_combined_county_id_10ppc_500_size_seed_123.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,21879674.14810979
sample_state_combined_county_id_10ppc_400_size_seed_123.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,16479710.737114722
sample_state_combined_county_id_5ppc_500_size_seed_1234.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,22006649.593675863
sample_state_combined_county_id_5ppc_150_size_seed_9101.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,6328600.650831506
sample_state_combined_county_id_5ppc_1100_size_seed_1234.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,43164620.9187339
sample_state_combined_county_id_5ppc_1100_size_seed_42.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,42950097.40171041
sample_state_combined_county_id_10ppc_500_size_seed_789.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,21514745.358311057
sample_state_combined_county_id_10ppc_900_size_seed_123.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,38679181.07484461
sample_state_combined_county_id_5ppc_700_size_seed_42.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,30699221.933423217
sample_state_combined_county_id_5ppc_200_size_seed_789.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,8355734.124483352
sample_state_combined_county_id_10ppc_800_size_seed_1415.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,34979846.91743031
sample_state_combined_county_id_5ppc_100_size_seed_1234.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,3846201.0983626735
sample_state_combined_county_id_5ppc_100_size_seed_123.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,3846408.9622848523
sample_state_combined_county_id_5ppc_600_size_seed_789.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,26449085.74411189
sample_state_combined_county_id_5ppc_800_size_seed_1234.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,34001976.0128356
sample_state_combined_county_id_10ppc_150_size_seed_5678.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,6102775.320760723
sample_state_combined_county_id_5ppc_200_size_seed_1234.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,8355510.735167389
sample_state_combined_county_id_5ppc_600_size_seed_5678.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,26450544.7850368
sample_state_combined_county_id_5ppc_800_size_seed_456.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,33962211.05484871
